               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095368,            0.037141,            0.036336,           0.0019338,            0.088006,           0.0011028,          0.00062213,            0.076167,            0.022766,            0.028345,            0.070265,           0.0033038,           0.0033038
                   1,            0.086162,             0.03685,            0.031518,            0.004264,             0.38837,            0.019232,           0.0053316,             0.06585,            0.021848,            0.025078,            0.040252,            0.006624,            0.006624
                   2,            0.080388,            0.037175,            0.027836,            0.046033,             0.13966,            0.031135,           0.0067454,            0.061191,            0.020129,            0.021035,            0.010226,            0.009931,            0.009931
                   3,            0.073498,            0.034705,            0.020508,             0.46373,             0.20963,             0.16793,            0.052132,            0.054551,            0.018481,            0.022759,           0.0099406,           0.0099406,           0.0099406
                   4,            0.068412,            0.033107,            0.016745,             0.70329,             0.21745,             0.29737,             0.10385,            0.050383,            0.019636,            0.011898,           0.0099406,           0.0099406,           0.0099406
                   5,            0.063852,            0.032242,            0.012966,             0.45023,             0.26651,             0.25349,            0.082017,            0.051102,            0.018869,            0.016869,           0.0099208,           0.0099208,           0.0099208
                   6,            0.059451,             0.03071,            0.011122,             0.77066,             0.29979,             0.38778,             0.15313,            0.042429,            0.017974,           0.0068008,            0.009901,            0.009901,            0.009901
                   7,            0.056758,            0.030386,           0.0090494,             0.76367,             0.39788,             0.43138,             0.17791,            0.044255,             0.01738,           0.0055768,           0.0098812,           0.0098812,           0.0098812
                   8,            0.054861,            0.029097,           0.0086366,             0.57139,             0.54505,              0.5597,               0.243,            0.038346,            0.014297,           0.0048531,           0.0098614,           0.0098614,           0.0098614
                   9,            0.052451,            0.028505,            0.007248,             0.72738,              0.5566,             0.62338,             0.24695,            0.038443,            0.015353,           0.0035043,           0.0098416,           0.0098416,           0.0098416
                  10,            0.051442,            0.028787,           0.0063083,             0.82516,             0.62701,             0.70643,             0.35066,            0.034599,            0.013925,              0.0028,           0.0098218,           0.0098218,           0.0098218
                  11,             0.04955,            0.025995,           0.0059814,             0.69756,             0.34314,             0.40441,             0.15652,            0.042635,            0.016728,             0.01762,            0.009802,            0.009802,            0.009802
                  12,            0.047903,            0.026537,           0.0053459,             0.70706,             0.60958,              0.6752,             0.31516,            0.036372,            0.013524,           0.0038573,           0.0097822,           0.0097822,           0.0097822
                  13,            0.047398,            0.026708,           0.0053323,             0.72284,             0.57207,             0.63038,             0.30305,            0.033976,            0.016217,           0.0046629,           0.0097624,           0.0097624,           0.0097624
                  14,            0.046373,            0.025728,           0.0051363,             0.77636,             0.66285,             0.71387,             0.34131,             0.03323,            0.013012,           0.0028982,           0.0097426,           0.0097426,           0.0097426
                  15,            0.045116,            0.024838,           0.0050561,             0.72467,             0.66793,             0.71699,             0.34363,            0.033088,            0.012781,           0.0035294,           0.0097228,           0.0097228,           0.0097228
                  16,            0.044403,            0.025413,            0.004407,             0.76183,             0.72664,             0.74733,             0.37111,            0.030658,             0.01237,           0.0019614,            0.009703,            0.009703,            0.009703
                  17,            0.043671,            0.024997,           0.0043546,              0.8362,              0.7351,             0.77689,             0.38537,            0.032273,            0.012241,           0.0022707,           0.0096832,           0.0096832,           0.0096832
